ca_num,ca_name,year,total_pop,pop_black,pop_white,pop_latino,pop_female,median_hh_income,per_capita_income,pct_black,pct_white,pct_latino,pct_female,pct_poverty,pct_unemp_young,pct_bachelor_plus,area_km2,pop_density_per_km2
1,ROGERS PARK,2008,50355,15692,23949,12903,25492,41241.17974381889,23466.489583953928,0.31162744513950946,0.47560321715817694,0.256240691093238,0.5062456558435111,0.26450734008377047,0.10231203349717823,0.399786595916484,4.7622215301171025,10573.846613717227
1,ROGERS PARK,2009,50347,15322,25056.5,12946.25,25402.75,40473.96091123638,23678.77807861187,0.3043244826682958,0.4976866546666177,0.2571408744195251,0.5045525923386872,0.26811799531363856,0.10231203349717823,0.399786595916484,4.7622215301171025,10572.16672546562
1,ROGERS PARK,2010,50339,14952,26164,12989.5,25313.5,39706.74207865387,23891.06657326981,0.29702152019708217,0.5197700921750585,0.2580410577458122,0.5028595288338633,0.2717286505435067,0.10231203349717823,0.399786595916484,4.7622215301171025,10570.486837214012
1,ROGERS PARK,2011,50331,14582,27271.5,13032.75,25224.25,38939.52324607137,24103.355067927754,0.2897185577258686,0.5418535296834993,0.2589412410720993,0.5011664653290394,0.2753393057733748,0.10231203349717823,0.399786595916484,4.7622215301171025,10568.806948962403
1,ROGERS PARK,2012,50323,14212,28379,13076,25135,38172.30441348886,24315.643562585698,0.2824155952546549,0.5639369671919401,0.2598414243983864,0.49947340182421557,0.2789499610032429,0.10231203349717823,0.399786595916484,4.7622215301171025,10567.127060710794
1,ROGERS PARK,2013,50172,14079.25,28330.25,12556.25,25020.25,38927.73718499346,25360.286393856448,0.2806033052826815,0.5646691718228857,0.2501768304822609,0.49868236587569403,0.27521996450763614,0.09892269746253048,0.40858694170472265,4.7622215301171025,10535.419169961688
1,ROGERS PARK,2014,50021,13946.5,28281.5,12036.5,24905.5,39683.16995649805,26404.929225127198,0.27879101531070805,0.5654013764538313,0.2405122365661354,0.49789132992717244,0.2714899680120294,0.09553336142788274,0.4173872874929613,4.7622215301171025,10503.711279212579
1,ROGERS PARK,2015,49870,13813.75,28232.75,11516.75,24790.75,40438.60272800264,27449.57205639795,0.27697872533873463,0.5661335810847767,0.23084764265000993,0.49710029397865085,0.2677599715164227,0.09214402539323499,0.4261876332811999,4.7622215301171025,10472.003388463472
1,ROGERS PARK,2016,49719,13681,28184,10997,24676,41194.035499507234,28494.2148876687,0.2751664353667612,0.5668657857157223,0.22118304873388442,0.4963092580301293,0.264029975020816,0.08875468935858724,0.43498797906943854,4.7622215301171025,10440.295497714365
1,ROGERS PARK,2017,50098.75,13633.5,27018.75,10862.25,25127.5,45727.5300888562,30532.406945251114,0.2721999953450873,0.5399225544786416,0.21691386838420854,0.5014426855499985,0.2497796054222931,0.08885783721053955,0.45197401976703283,4.7622215301171025,10520.037693157898
1,ROGERS PARK,2018,50478.5,13586,25853.5,10727.5,25579,50261.024678205154,32570.59900283353,0.2692335553234134,0.5129793232415607,0.21264468803453268,0.5065761130698677,0.2355292358237702,0.08896098506249185,0.4689600604646271,4.7622215301171025,10599.779888601432
1,ROGERS PARK,2019,50858.25,13538.5,24688.25,10592.75,26030.5,54794.51926755412,34608.79106041594,0.26626711530173947,0.48603609200447995,0.2083755076848568,0.5117095405897369,0.22127886622524728,0.08906413291444415,0.4859461011622214,4.7622215301171025,10679.522084044966
1,ROGERS PARK,2020,51238,13491,23523,10458,26482,59328.01385690308,36646.98311799836,0.26330067528006557,0.4590928607673992,0.20410632733518091,0.5168429681096062,0.2070284966267244,0.08916728076639646,0.5029321418598157,4.7622215301171025,10759.264279488498
1,ROGERS PARK,2021,51238,13491,23523,10458,26482,59328.01385690308,36646.98311799836,0.26330067528006557,0.4590928607673992,0.20410632733518091,0.5168429681096062,0.2070284966267244,0.08916728076639646,0.5029321418598157,4.7622215301171025,10759.264279488498
1,ROGERS PARK,2022,51238,13491,23523,10458,26482,59328.01385690308,36646.98311799836,0.26330067528006557,0.4590928607673992,0.20410632733518091,0.5168429681096062,0.2070284966267244,0.08916728076639646,0.5029321418598157,4.7622215301171025,10759.264279488498
1,ROGERS PARK,2023,51238,13491,23523,10458,26482,59328.01385690308,36646.98311799836,0.26330067528006557,0.4590928607673992,0.20410632733518091,0.5168429681096062,0.2070284966267244,0.08916728076639646,0.5029321418598157,4.7622215301171025,10759.264279488498
1,ROGERS PARK,2024,51238,13491,23523,10458,26482,59328.01385690308,36646.98311799836,0.26330067528006557,0.4590928607673992,0.20410632733518091,0.5168429681096062,0.2070284966267244,0.08916728076639646,0.5029321418598157,4.7622215301171025,10759.264279488498
2,WEST RIDGE,2008,72069,7629,37380,15421,37847,49448.70048148302,21375.38621321234,0.10585688714981475,0.5186696082920534,0.21397549570550445,0.5251495094978423,0.17481881523351148,0.14763674986723313,0.39523464208018233,9.144398095201515,7881.2185613198435
2,WEST RIDGE,2009,72306.5,7733,38427.75,14837.75,37543.5,50285.142693587375,21906.11305176617,0.10693686618680402,0.531331599938483,0.20529187664430043,0.5192849672758764,0.17892064733650542,0.14763674986723313,0.39523464208018233,9.144398095201515,7907.190746424582
2,WEST RIDGE,2010,72544,7837,39475.5,14254.5,37240,51121.58490569173,22436.83989032,0.10801684522379329,0.5439935915849126,0.19660825758309639,0.5134204250539103,0.18302247943949937,0.14763674986723313,0.39523464208018233,9.144398095201515,7933.162931529322
2,WEST RIDGE,2011,72781.5,7941,40523.25,13671.25,36936.5,51958.02711779608,22967.566728873826,0.10909682426078254,0.556655583231342,0.18792463852189234,0.5075558828319442,0.18712431154249332,0.14763674986723313,0.39523464208018233,9.144398095201515,7959.135116634062
2,WEST RIDGE,2012,73019,8045,41571,13088,36633,52794.469329900436,23498.293567427656,0.11017680329777181,0.5693175748777716,0.17924101946068832,0.5016913406099782,0.19122614364548726,0.14763674986723313,0.39523464208018233,9.144398095201515,7985.107301738801
2,WEST RIDGE,2013,74067.25,8633,41765,13360.5,37189.25,52784.675007449674,23941.039258096775,0.11629641120772248,0.5641009356524488,0.18033684137114697,0.5020844408043209,0.19613017354333584,0.13872104937437274,0.3946869699276908,9.144398095201515,8099.740325048456
2,WEST RIDGE,2014,75115.5,9221,41959,13633,37745.5,52774.88068499892,24383.784948765893,0.12241601911767314,0.5588842964271259,0.18143266328160562,0.5024775409986637,0.20103420344118444,0.12980534888151235,0.3941392977751993,9.144398095201515,8214.37334835811
2,WEST RIDGE,2015,76163.75,9809,42153,13905.5,38301.75,52765.08636254816,24826.530639435012,0.1285356270276238,0.5536676572018031,0.18252848519206427,0.5028706411930064,0.20593823333903302,0.12088964838865197,0.3935916256227078,9.144398095201515,8329.006371667765
2,WEST RIDGE,2016,77212,10397,42347,14178,38858,52755.292040097396,25269.27633010413,0.13465523493757448,0.5484510179764803,0.18362430710252292,0.5032637413873491,0.2108422632368816,0.11197394789579158,0.39304395347021626,9.144398095201515,8443.639394977421
2,WEST RIDGE,2017,77725.25,10126.25,41001.75,15018.5,38887.25,57122.82656177052,26985.094593821712,0.13036756951990325,0.5279281833713403,0.19303898980459358,0.5003740660543893,0.20058760650693527,0.10913369053051884,0.39724892693369424,9.144398095201515,8499.766653945873
2,WEST RIDGE,2018,78238.5,9855.5,39656.5,15859,38916.5,61490.36108344364,28700.91285753929,0.12607990410223202,0.5074053487662001,0.20245367250666424,0.4974843907214296,0.19033294977698895,0.1062934331652461,0.4014539003971722,9.144398095201515,8555.893912914325
2,WEST RIDGE,2019,78751.75,9584.75,38311.25,16699.5,38945.75,65857.89560511676,30416.73112125687,0.12179223868456078,0.4868825141610601,0.21186835520873487,0.4945947153884698,0.1800782930470426,0.10345317579997336,0.40565887386065014,9.144398095201515,8612.02117188278
2,WEST RIDGE,2020,79265,9314,36966,17540,38975,70225.43012678988,32132.549384974453,0.11750457326688955,0.46635967955592,0.22128303791080553,0.49170504005551,0.16982363631709627,0.10061291843470062,0.4098638473241281,9.144398095201515,8668.148430851232
2,WEST RIDGE,2021,79265,9314,36966,17540,38975,70225.43012678988,32132.549384974453,0.11750457326688955,0.46635967955592,0.22128303791080553,0.49170504005551,0.16982363631709627,0.10061291843470062,0.4098638473241281,9.144398095201515,8668.148430851232
2,WEST RIDGE,2022,79265,9314,36966,17540,38975,70225.43012678988,32132.549384974453,0.11750457326688955,0.46635967955592,0.22128303791080553,0.49170504005551,0.16982363631709627,0.10061291843470062,0.4098638473241281,9.144398095201515,8668.148430851232
2,WEST RIDGE,2023,79265,9314,36966,17540,38975,70225.43012678988,32132.549384974453,0.11750457326688955,0.46635967955592,0.22128303791080553,0.49170504005551,0.16982363631709627,0.10061291843470062,0.4098638473241281,9.144398095201515,8668.148430851232
2,WEST RIDGE,2024,79265,9314,36966,17540,38975,70225.43012678988,32132.549384974453,0.11750457326688955,0.46635967955592,0.22128303791080553,0.49170504005551,0.16982363631709627,0.10061291843470062,0.4098638473241281,9.144398095201515,8668.148430851232
3,UPTOWN,2008,56340,10948,31843,8726,25697,39639.06050763223,32354.436297479588,0.19432019879304224,0.565193468228612,0.15488107916222932,0.4561057862974796,0.25956338874424195,0.0938506693392512,0.5455762250453721,6.047606094661356,9316.082945570024
3,UPTOWN,2009,55770.5,10992.5,32298.5,8285.5,25770.25,40615.02227299601,33560.88584561718,0.19719033591731877,0.5795728415436243,0.14836457541806317,0.4622654223689608,0.2549016694673656,0.0938506693392512,0.5455762250453721,6.047606094661356,9221.913452536619
3,UPTOWN,2010,55201,11037,32754,7845,25843.5,41590.98403835979,34767.33539375478,0.2000604730415953,0.5939522148586366,0.141848071673897,0.4684250584404419,0.25023995019048917,0.0938506693392512,0.5455762250453721,6.047606094661356,9127.743959503212
3,UPTOWN,2011,54631.5,11081.5,33209.5,7404.5,25916.75,42566.94580372357,35973.78494189237,0.20293061016587183,0.6083315881736489,0.13533156792973086,0.4745846945119231,0.24557823091361278,0.0938506693392512,0.5455762250453721,6.047606094661356,9033.574466469805
3,UPTOWN,2012,54062,11126,33665,6964,25990,43542.90756908734,37180.234490029965,0.20580074729014836,0.6227109614886611,0.1288150641855647,0.48074433058340427,0.24091651163673639,0.0938506693392512,0.5455762250453721,6.047606094661356,8939.404973436398
