outcome,model,term,estimate,se,statistic,p_value,n_obs,n_clusters,notes
Female shooting victims,Poisson TWFE tercile DiD (fepois),did,-0.20178328675403176,0.1363706141562131,-1.4796683875229026,0.13896176600866286,672,48,Spec identica ao DiD principal (49): treat=top vs bottom tercil pre-2015 pct gang; 2010-2024 ex-2015; CA+year FE; cluster CA. Coeficiente em escala log (exp(beta)-1 = efeito proporcional).
Fatal female shootings,Poisson TWFE tercile DiD (fepois),did,0.43289044977989344,0.2427639817888563,1.7831741207655731,0.07455796378449417,658,47,Spec identica ao DiD principal (49): treat=top vs bottom tercil pre-2015 pct gang; 2010-2024 ex-2015; CA+year FE; cluster CA. Coeficiente em escala log (exp(beta)-1 = efeito proporcional). | NOTE: NOTE: 1/0 fixed-effect (14 observations) removed because of only 0 outcomes.
Male shooting victims (placebo),Poisson TWFE tercile DiD (fepois),did,-0.47835113649215705,0.10023085794921013,-4.77249368387679,1.8195881664372951e-6,672,48,Spec identica ao DiD principal (49): treat=top vs bottom tercil pre-2015 pct gang; 2010-2024 ex-2015; CA+year FE; cluster CA. Coeficiente em escala log (exp(beta)-1 = efeito proporcional).
