yr,series,query,Female,Male,total,fem_share,post,pre,diff_pp,p_value,fonte,unidade
2021,Disparo/armed violence,"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category in ('Aggravated Battery With A Firearm','Aggravated Discharge Firearm','Reckless Discharge of Firearm','Armed Violence')&$group=yr, gender&$order=yr&$limit=5000",23,243,266,0.08646616541353383,0.08683584456780333,0.03145235892691952,5.5383485640883805,3.834461868889183e-9,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2022,Disparo/armed violence,"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category in ('Aggravated Battery With A Firearm','Aggravated Discharge Firearm','Reckless Discharge of Firearm','Armed Violence')&$group=yr, gender&$order=yr&$limit=5000",27,205,232,0.11637931034482758,0.08683584456780333,0.03145235892691952,5.5383485640883805,3.834461868889183e-9,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2023,Disparo/armed violence,"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category in ('Aggravated Battery With A Firearm','Aggravated Discharge Firearm','Reckless Discharge of Firearm','Armed Violence')&$group=yr, gender&$order=yr&$limit=5000",29,233,262,0.11068702290076336,0.08683584456780333,0.03145235892691952,5.5383485640883805,3.834461868889183e-9,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2024,Disparo/armed violence,"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND offense_category in ('Aggravated Battery With A Firearm','Aggravated Discharge Firearm','Reckless Discharge of Firearm','Armed Violence')&$group=yr, gender&$order=yr&$limit=5000",32,223,255,0.12549019607843137,0.08683584456780333,0.03145235892691952,5.5383485640883805,3.834461868889183e-9,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2011,Todos os felonies (benchmark),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female')&$group=yr, gender&$order=yr&$limit=5000",3788,26911,30699,0.12339164142154467,0.10479247721304939,0.12509424631324637,-2.0301769100196974,4.2401865616467565e-61,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2012,Todos os felonies (benchmark),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female')&$group=yr, gender&$order=yr&$limit=5000",3820,27497,31317,0.12197847814286171,0.10479247721304939,0.12509424631324637,-2.0301769100196974,4.2401865616467565e-61,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2013,Todos os felonies (benchmark),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female')&$group=yr, gender&$order=yr&$limit=5000",4152,28443,32595,0.12738150023009664,0.10479247721304939,0.12509424631324637,-2.0301769100196974,4.2401865616467565e-61,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2014,Todos os felonies (benchmark),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female')&$group=yr, gender&$order=yr&$limit=5000",3670,25066,28736,0.12771436525612473,0.10479247721304939,0.12509424631324637,-2.0301769100196974,4.2401865616467565e-61,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2015,Todos os felonies (benchmark),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female')&$group=yr, gender&$order=yr&$limit=5000",3156,22617,25773,0.12245373064835292,0.10479247721304939,0.12509424631324637,-2.0301769100196974,4.2401865616467565e-61,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
2016,Todos os felonies (benchmark),"$select=date_extract_y(arrest_date) as yr, gender, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female')&$group=yr, gender&$order=yr&$limit=5000",2380,17080,19460,0.1223021582733813,0.10479247721304939,0.12509424631324637,-2.0301769100196974,4.2401865616467565e-61,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","reu (primary_charge=true), incident_city=Chicago, ano da prisao"
