gang_top,n_ca_ano,dv_media,shoot_fem_media,pct_fem_shoot
Outro People,213,807.4366197183099,6.929577464788732,0.11332710575798836
Gangster Disciples,423,776.1394799054374,6.3546099290780145,0.130528990399818
Black P Stones,99,718.7373737373738,6.242424242424242,0.13970993089679742
Maniac Latin Disciples,61,482.1475409836066,2.3442622950819674,0.1338017068464483
Outro Folk,163,368.9509202453988,2.374233128834356,0.10971149309865305
Latin Kings,185,323.0972972972973,1.4108108108108108,0.10945481457776467
