stat,group,sex,period,band,n,value,total,chi2_fem_treated,p_fem_treated,chi2_masc_treated,p_masc_treated,notes
band_share,Control,M,post,40-49,267,0.10090702947845805,2646,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Control,M,post,50-59,102,0.03854875283446712,2646,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Control,M,post,60-69,30,0.011337868480725623,2646,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Control,M,post,70-79,10,0.003779289493575208,2646,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Control,M,post,80+,1,3.779289493575208e-4,2646,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Control,M,pre,0-19,194,0.2425,800,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Control,M,pre,20-29,378,0.4725,800,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Control,M,pre,30-39,144,0.18,800,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Control,M,pre,40-49,49,0.06125,800,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Control,M,pre,50-59,26,0.0325,800,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
