outcome,year,estimate,std.error,statistic,p.value,conf.low,conf.high
Female shootings,2010,-0.416666666666663,1.1852243529857251,-0.35155088200561246,0.7267463258585938,-2.8010305154271946,1.9676971820938687
Female shootings,2011,-0.37499999999999495,0.9857375461578379,-0.3804258054911802,0.7053433142372225,-2.3580481575102823,1.6080481575102923
Female shootings,2012,-1.5000000000000073,0.907258332017963,-1.6533328458539949,0.10492828700549137,-3.3251683429394343,0.32516834293941965
Female shootings,2013,-2.250000000000012,0.9262882260748903,-2.42904955138456,0.01901604190056498,-4.113451551785745,-0.38654844821427914
Female shootings,2016,1.791666666666688,1.1390978710011146,1.5728821133622635,0.12245448739830556,-0.4999026695295765,4.083236002862953
Female shootings,2017,1.0833333333333481,1.0204832425592594,1.061588557413709,0.29384718006409843,-0.9696141493054333,3.1362808159721296
Female shootings,2018,0.9583333333333486,1.226680560929889,0.7812411510025732,0.43857830474156245,-1.5094296484940632,3.4260963151607604
Female shootings,2019,0.7083333333333462,0.8888155886471554,0.7969407179406959,0.42949306714255175,-1.079732995582706,2.4963996622493987
Female shootings,2020,5.083333333333383,1.7390361032591763,2.923075216096184,0.005315880494169657,1.5848439495681577,8.581822717098607
Female shootings,2021,7.166666666666733,1.8042800740642773,3.9720366974531145,2.4327105843099267e-4,3.536923343556284,10.796409989777182
Female shootings,2022,2.500000000000026,1.5502939729277359,1.6125973806624347,0.11352750982256471,-0.6187891935297762,5.618789193529828
Female shootings,2023,2.8333333333333646,1.319789019247591,2.1468077791317297,0.03699971251858084,0.17826029373731256,5.488406372929417
Female shootings,2024,1.083333333333352,0.9742484168025043,1.1119682769296826,0.2718074386676297,-0.8766016771853287,3.0432683438520325
Female shootings,2014,0,NA,NA,NA,NA,NA
Fatal female shootings,2010,0.04166666666667244,0.48771549837219047,0.08543232028865186,0.9322805975974722,-0.9394903605825666,1.0228236939159114
Fatal female shootings,2011,-0.12499999999999492,0.39972699119692257,-0.3127134338006577,0.755881753856475,-0.9291469826221453,0.6791469826221556
Fatal female shootings,2012,-0.5416666666666654,0.4500145333763928,-1.2036648296725445,0.23474667729384538,-1.4469791352271506,0.3636458018938198
Fatal female shootings,2013,-0.37499999999999634,0.3812255453333192,-0.9836696532812887,0.33031479858623825,-1.1419268744157578,0.39192687441576524
Fatal female shootings,2016,0.5000000000000107,0.4965390508411325,1.0069701449523767,0.31910539680204775,-0.49890772522601934,1.4989077252260405
Fatal female shootings,2017,0.8750000000000129,0.6136064973916261,1.4259953304268158,0.16047827507434012,-0.35941705029053894,2.1094170502905647
Fatal female shootings,2018,0.7500000000000122,0.5245389508204863,1.4298270868671596,0.15938080374650376,-0.3052362583948651,1.8052362583948895
Fatal female shootings,2019,0.4166666666666775,0.591346360501779,0.704606799834061,0.4845319880992204,-0.7729687644013986,1.6063020977347535
Fatal female shootings,2020,1.7083333333333535,0.8170923428989536,2.0907469616865764,0.0419842541372117,0.06455556366515491,3.352111103001552
Fatal female shootings,2021,2.4583333333333597,0.9524286117152408,2.581120834774289,0.013028966194307757,0.5422941087104138,4.374372557956305
Fatal female shootings,2022,0.41666666666667673,0.5723253105622725,0.7280241830600306,0.4702104400580064,-0.7347033476244169,1.5680366809577704
Fatal female shootings,2023,1.6250000000000193,0.7025952201893028,2.312853764593203,0.02515699447183383,0.21156073079231374,3.038439269207725
Fatal female shootings,2024,0.7083333333333454,0.5734656023789174,1.2351801579640589,0.22290251303825043,-0.44533065220276746,1.861997318869458
Fatal female shootings,2014,0,NA,NA,NA,NA,NA
