gender,period,mean_age,share_young_0_29,share_30_49,n,fonte,query
Female,post,29.613162118780096,0.5746388443017657,0.39486356340288925,1869,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","$select=date_extract_y(arrest_date) as yr, gender, age_at_incident, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND age_at_incident IS NOT NULL AND offense_category = 'UUW - Unlawful Use of Weapon'&$group=yr, gender, age_at_incident&$limit=20000"
Female,pre,29.45886075949367,0.620253164556962,0.3037974683544304,316,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","$select=date_extract_y(arrest_date) as yr, gender, age_at_incident, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND age_at_incident IS NOT NULL AND offense_category = 'UUW - Unlawful Use of Weapon'&$group=yr, gender, age_at_incident&$limit=20000"
Male,post,28.45136796076346,0.6437392897240442,0.32627193759971634,33846,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","$select=date_extract_y(arrest_date) as yr, gender, age_at_incident, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND age_at_incident IS NOT NULL AND offense_category = 'UUW - Unlawful Use of Weapon'&$group=yr, gender, age_at_incident&$limit=20000"
Male,pre,27.406536086863955,0.6932084309133489,0.26793698105173513,9394,"Cook County SAO, Initiation (7mck-ehwz), acesso 2026-07-02","$select=date_extract_y(arrest_date) as yr, gender, age_at_incident, count(*) as n&$where=primary_charge = true AND incident_city = 'Chicago' AND arrest_date IS NOT NULL AND gender in ('Male','Female') AND age_at_incident IS NOT NULL AND offense_category = 'UUW - Unlawful Use of Weapon'&$group=yr, gender, age_at_incident&$limit=20000"
