outcome,model,term,estimate,se,statistic,p_value,n_obs,n_clusters,notes
Female share of shooting victims,TWFE OLS tercile DiD (unweighted),did,0.05766946754176149,0.031077762376213573,1.8556505723816459,0.06978012485871844,655,48,fem_share = n_fem_shoot/n_shoot_total; 17 celulas CA-ano com zero baleados excluidas (share indefinido). Spec identica ao DiD principal (49): treat=top vs bottom tercil pre-2015 pct gang; 2010-2024 ex-2015; CA+year FE; cluster CA.
Female share of shooting victims,TWFE OLS tercile DiD (weighted by n_shoot_total),did,0.03434578543769608,0.014153928258944843,2.4265903295073303,0.019130583181273076,655,48,fem_share = n_fem_shoot/n_shoot_total; 17 celulas CA-ano com zero baleados excluidas (share indefinido). Spec identica ao DiD principal (49): treat=top vs bottom tercil pre-2015 pct gang; 2010-2024 ex-2015; CA+year FE; cluster CA.
