year,community_area,sex,age
2021,LOGAN SQUARE,M,20-29
2021,SOUTH SHORE,M,30-39
2021,WEST PULLMAN,M,20-29
2021,BRIGHTON PARK,M,0-19
2021,AUBURN GRESHAM,M,20-29
2021,AVALON PARK,M,40-49
2021,ARCHER HEIGHTS,M,20-29
2021,ENGLEWOOD,M,30-39
2021,NEW CITY,M,20-29
2021,NEW CITY,M,20-29
2021,SOUTH CHICAGO,M,20-29
2021,PULLMAN,M,40-49
2021,NORTH LAWNDALE,M,30-39
2021,ROSELAND,M,20-29
2021,WEST TOWN,M,50-59
2021,KENWOOD,M,0-19
2021,WEST PULLMAN,M,40-49
2021,NEAR NORTH SIDE,M,0-19
2021,WEST GARFIELD PARK,M,20-29
2021,AUSTIN,M,20-29
2021,AUBURN GRESHAM,M,20-29
2021,SOUTH LAWNDALE,M,50-59
2021,AUSTIN,M,20-29
2021,WEST PULLMAN,M,20-29
2021,WEST ENGLEWOOD,M,60-69
2021,NORTH LAWNDALE,M,30-39
2021,CHICAGO LAWN,M,20-29
2021,WEST ELSDON,M,50-59
2021,GRAND BOULEVARD,M,0-19
2021,AUBURN GRESHAM,M,0-19
2021,GREATER GRAND CROSSING,M,20-29
2021,WEST RIDGE,M,20-29
2021,WEST PULLMAN,M,20-29
2021,PORTAGE PARK,M,30-39
2021,ALBANY PARK,M,30-39
2021,WASHINGTON HEIGHTS,M,40-49
2021,AUBURN GRESHAM,M,20-29
2021,SOUTH SHORE,M,40-49
2021,SOUTH SHORE,M,40-49
2021,AUSTIN,M,40-49
2021,NORTH LAWNDALE,M,20-29
2021,CHICAGO LAWN,M,20-29
2021,GREATER GRAND CROSSING,M,30-39
2021,SOUTH SHORE,M,20-29
2021,GREATER GRAND CROSSING,M,20-29
2021,IRVING PARK,M,20-29
2021,NORTH LAWNDALE,M,20-29
2021,GAGE PARK,M,40-49
2021,AUBURN GRESHAM,M,0-19
2021,WASHINGTON PARK,M,30-39
2021,PORTAGE PARK,M,60-69
2021,OAKLAND,F,60-69
2021,OAKLAND,M,40-49
2021,WEST PULLMAN,M,30-39
2021,LOGAN SQUARE,M,20-29
2021,EAST GARFIELD PARK,M,40-49
2021,BRIGHTON PARK,M,20-29
2021,MCKINLEY PARK,M,20-29
2021,CHICAGO LAWN,F,30-39
2021,CHICAGO LAWN,M,20-29
2021,AUSTIN,F,40-49
2021,WEST GARFIELD PARK,M,30-39
2021,LAKE VIEW,M,20-29
2021,OAKLAND,F,20-29
2021,OAKLAND,F,20-29
2021,WOODLAWN,M,30-39
2021,WOODLAWN,M,30-39
2021,CHICAGO LAWN,M,30-39
2021,CHICAGO LAWN,M,30-39
2021,GREATER GRAND CROSSING,M,20-29
2021,AUSTIN,F,20-29
2021,CHATHAM,M,20-29
2021,SOUTH SHORE,M,0-19
2021,WEST ENGLEWOOD,M,30-39
2021,GRAND BOULEVARD,M,20-29
2021,WEST GARFIELD PARK,F,0-19
2021,CHATHAM,M,20-29
2021,LOGAN SQUARE,F,20-29
2021,AUBURN GRESHAM,M,50-59
2021,GRAND BOULEVARD,M,30-39
2021,WEST GARFIELD PARK,M,40-49
2021,SOUTH SHORE,M,30-39
2021,ROGERS PARK,F,60-69
2021,SOUTH SHORE,M,30-39
2021,CHATHAM,M,40-49
2021,GREATER GRAND CROSSING,F,50-59
2021,GREATER GRAND CROSSING,M,40-49
2021,AUSTIN,M,40-49
2021,NEW CITY,M,30-39
2021,CHATHAM,M,20-29
2021,SOUTH CHICAGO,M,40-49
2021,AUBURN GRESHAM,M,0-19
2021,ARMOUR SQUARE,M,70-79
2021,WEST GARFIELD PARK,M,20-29
2021,NORTH LAWNDALE,M,0-19
2021,CHICAGO LAWN,M,20-29
2021,NORTH LAWNDALE,F,20-29
2021,LOWER WEST SIDE,M,40-49
2021,WOODLAWN,M,50-59
2021,WASHINGTON PARK,M,30-39
2021,NEAR SOUTH SIDE,M,0-19
2021,LOWER WEST SIDE,M,20-29
2021,WEST RIDGE,M,20-29
2021,NEW CITY,M,0-19
2021,NEW CITY,M,20-29
2021,ROSELAND,M,0-19
2021,ROSELAND,M,30-39
2021,ENGLEWOOD,M,0-19
2021,WEST PULLMAN,F,0-19
2021,LOWER WEST SIDE,M,30-39
2021,PORTAGE PARK,F,0-19
2021,PORTAGE PARK,M,20-29
2021,PORTAGE PARK,M,20-29
2021,IRVING PARK,F,20-29
2021,NEAR WEST SIDE,F,40-49
2021,NEAR WEST SIDE,M,50-59
2021,PORTAGE PARK,M,40-49
2021,LOOP,M,0-19
2021,CHICAGO LAWN,M,0-19
2021,LOOP,F,0-19
2021,ENGLEWOOD,M,0-19
2021,CHICAGO LAWN,F,50-59
2021,HUMBOLDT PARK,M,20-29
2021,CALUMET HEIGHTS,M,30-39
2021,NORTH CENTER,M,20-29
2021,SOUTH LAWNDALE,M,20-29
2021,NEW CITY,M,0-19
2021,AUBURN GRESHAM,M,20-29
2021,SOUTH SHORE,M,20-29
2021,GREATER GRAND CROSSING,M,40-49
2021,SOUTH SHORE,F,20-29
2021,NEAR NORTH SIDE,M,30-39
2021,LOWER WEST SIDE,M,20-29
2021,ENGLEWOOD,M,40-49
2021,GREATER GRAND CROSSING,F,30-39
2021,FULLER PARK,M,30-39
2021,FULLER PARK,M,40-49
2021,FULLER PARK,M,30-39
2021,AVALON PARK,M,20-29
2021,CHICAGO LAWN,M,30-39
2021,ARCHER HEIGHTS,M,20-29
2021,ARCHER HEIGHTS,M,20-29
2021,WEST GARFIELD PARK,M,30-39
2021,MCKINLEY PARK,M,20-29
2021,GAGE PARK,M,30-39
2021,GAGE PARK,F,20-29
2021,ROSELAND,M,20-29
2021,GARFIELD RIDGE,M,30-39
2021,CHICAGO LAWN,M,60-69
2021,CHICAGO LAWN,M,30-39
2021,CHATHAM,M,20-29
2021,AUBURN GRESHAM,M,20-29
2021,CALUMET HEIGHTS,M,30-39
2021,NEAR WEST SIDE,M,30-39
2021,WOODLAWN,M,20-29
2021,WEST GARFIELD PARK,M,20-29
2021,WOODLAWN,M,30-39
2021,WEST GARFIELD PARK,M,40-49
2021,IRVING PARK,M,20-29
2021,LINCOLN SQUARE,M,50-59
2021,WOODLAWN,M,30-39
2021,BRIGHTON PARK,F,20-29
2021,BRIGHTON PARK,F,20-29
2021,ASHBURN,M,40-49
2021,CHICAGO LAWN,M,30-39
2021,NEAR WEST SIDE,M,30-39
2021,NEAR WEST SIDE,F,20-29
2021,KENWOOD,M,20-29
2021,AUSTIN,M,40-49
2021,NEW CITY,M,20-29
2021,ENGLEWOOD,M,20-29
2021,BRIDGEPORT,M,20-29
2021,SOUTH SHORE,M,20-29
2021,WEST ENGLEWOOD,M,0-19
2021,CHICAGO LAWN,M,30-39
2021,ENGLEWOOD,M,20-29
2021,NEW CITY,M,0-19
2021,LINCOLN SQUARE,F,20-29
2021,LINCOLN SQUARE,M,20-29
2021,AVONDALE,F,30-39
2021,HUMBOLDT PARK,F,60-69
2021,SOUTH CHICAGO,M,20-29
2021,CHATHAM,M,50-59
2021,SOUTH LAWNDALE,M,20-29
2021,IRVING PARK,M,60-69
2021,ALBANY PARK,M,20-29
2021,ALBANY PARK,F,20-29
2021,CHICAGO LAWN,M,20-29
2021,BELMONT CRAGIN,M,30-39
2021,NEAR NORTH SIDE,M,20-29
2021,NEAR NORTH SIDE,M,20-29
2021,AUSTIN,M,30-39
2021,AUSTIN,M,20-29
2021,AUSTIN,F,20-29
2021,CHICAGO LAWN,F,30-39
2021,CHICAGO LAWN,M,30-39
2021,AVALON PARK,M,30-39
2021,HUMBOLDT PARK,M,20-29
2021,HEGEWISCH,M,30-39
2021,WEST PULLMAN,M,40-49
2021,WEST GARFIELD PARK,M,20-29
2021,WEST GARFIELD PARK,M,50-59
2021,WEST ELSDON,M,30-39
2021,LINCOLN SQUARE,M,20-29
2021,WEST PULLMAN,M,20-29
2021,AUSTIN,M,0-19
2021,SOUTH CHICAGO,M,0-19
2021,ENGLEWOOD,M,20-29
2021,AUSTIN,M,40-49
2021,AUBURN GRESHAM,F,20-29
2021,NEW CITY,F,30-39
2021,HERMOSA,M,20-29
2021,NEW CITY,M,0-19
2021,NEW CITY,F,20-29
2021,LINCOLN PARK,F,30-39
2021,BELMONT CRAGIN,M,30-39
2021,BELMONT CRAGIN,M,30-39
2021,AUSTIN,M,0-19
2021,RIVERDALE,M,20-29
2021,ROGERS PARK,M,0-19
2021,LOWER WEST SIDE,M,0-19
2021,WEST GARFIELD PARK,M,20-29
2021,AUBURN GRESHAM,M,20-29
2021,GREATER GRAND CROSSING,M,20-29
2021,ROSELAND,M,20-29
2021,ROSELAND,F,30-39
2021,PULLMAN,M,60-69
2021,PULLMAN,M,20-29
2021,ARCHER HEIGHTS,M,0-19
2021,ARCHER HEIGHTS,M,20-29
2021,AUBURN GRESHAM,M,0-19
2021,NEW CITY,M,0-19
2021,WEST PULLMAN,M,0-19
2021,GREATER GRAND CROSSING,M,30-39
2021,GREATER GRAND CROSSING,M,20-29
2021,AUSTIN,M,20-29
2021,WASHINGTON PARK,M,0-19
2021,NORTH LAWNDALE,M,30-39
2021,NORTH LAWNDALE,F,20-29
2021,CHATHAM,M,20-29
2021,PORTAGE PARK,M,30-39
2021,ROSELAND,M,20-29
2021,SOUTH DEERING,M,30-39
2021,ROSELAND,M,20-29
2021,ROSELAND,M,20-29
2021,MORGAN PARK,M,0-19
2021,FULLER PARK,M,0-19
2021,SOUTH CHICAGO,M,50-59
2021,NORTH LAWNDALE,M,20-29
2021,WEST ENGLEWOOD,F,0-19
2021,WEST ENGLEWOOD,M,20-29
2021,WEST ENGLEWOOD,M,30-39
2021,AUBURN GRESHAM,F,20-29
2021,AUBURN GRESHAM,F,20-29
2021,BELMONT CRAGIN,M,40-49
2021,WEST GARFIELD PARK,M,30-39
2021,WEST GARFIELD PARK,M,30-39
2021,GREATER GRAND CROSSING,M,20-29
2021,NEAR SOUTH SIDE,M,40-49
2021,HUMBOLDT PARK,M,30-39
2021,AUSTIN,M,20-29
2021,ENGLEWOOD,M,20-29
2021,ALBANY PARK,M,0-19
2021,ROSELAND,M,0-19
2021,SOUTH SHORE,M,20-29
2021,WEST GARFIELD PARK,M,40-49
2021,SOUTH LAWNDALE,M,30-39
2021,HUMBOLDT PARK,M,30-39
2021,CALUMET HEIGHTS,M,20-29
2021,AUBURN GRESHAM,M,40-49
2021,CALUMET HEIGHTS,M,0-19
2021,WEST ENGLEWOOD,M,30-39
2021,NORTH LAWNDALE,M,0-19
2021,NEAR SOUTH SIDE,M,20-29
2021,NEAR SOUTH SIDE,M,30-39
2021,GREATER GRAND CROSSING,M,0-19
2021,CHATHAM,M,20-29
2021,ALBANY PARK,M,30-39
2021,LOWER WEST SIDE,M,40-49
2021,NORTH LAWNDALE,M,20-29
2021,EAST GARFIELD PARK,M,0-19
2021,DUNNING,M,40-49
2021,NEAR NORTH SIDE,M,30-39
2021,ROSELAND,M,20-29
2021,GARFIELD RIDGE,M,20-29
2021,WEST ENGLEWOOD,M,40-49
2021,WEST ENGLEWOOD,M,30-39
2021,SOUTH SHORE,M,50-59
2021,WEST PULLMAN,M,20-29
2021,WOODLAWN,M,30-39
2021,WEST ENGLEWOOD,M,50-59
2021,WASHINGTON HEIGHTS,M,0-19
2021,WASHINGTON HEIGHTS,M,0-19
2021,WASHINGTON PARK,F,0-19
2021,WEST GARFIELD PARK,M,0-19
2021,GRAND BOULEVARD,M,40-49
2021,BRIGHTON PARK,M,20-29
2021,WASHINGTON HEIGHTS,M,20-29
2021,AUBURN GRESHAM,M,30-39
2021,BELMONT CRAGIN,M,20-29
2021,ALBANY PARK,F,20-29
2021,EAST GARFIELD PARK,M,40-49
2021,EAST GARFIELD PARK,M,40-49
2021,ENGLEWOOD,M,20-29
2021,HUMBOLDT PARK,M,20-29
2021,LOWER WEST SIDE,M,30-39
2021,ENGLEWOOD,M,30-39
2021,NEAR WEST SIDE,M,20-29
2021,NEAR WEST SIDE,M,30-39
2021,NEAR WEST SIDE,M,40-49
2021,NEAR WEST SIDE,F,30-39
2021,NORTH LAWNDALE,M,30-39
2021,NEAR WEST SIDE,M,20-29
2021,SOUTH SHORE,M,20-29
2021,SOUTH LAWNDALE,M,40-49
2021,AUSTIN,M,30-39
2021,FULLER PARK,M,0-19
2021,NORTH LAWNDALE,M,20-29
2021,WEST ENGLEWOOD,M,30-39
2021,WOODLAWN,M,30-39
2021,AVALON PARK,M,30-39
2021,AVALON PARK,F,30-39
2021,AUSTIN,M,30-39
2021,NEAR WEST SIDE,M,30-39
2021,EAST GARFIELD PARK,M,20-29
2021,NEW CITY,M,20-29
2021,SOUTH CHICAGO,M,20-29
2021,SOUTH CHICAGO,M,20-29
2021,CHATHAM,M,40-49
2021,CHATHAM,F,40-49
2021,NEW CITY,M,30-39
2021,AUSTIN,M,20-29
2021,AUSTIN,F,30-39
2021,SOUTH CHICAGO,M,30-39
2021,ROSELAND,M,30-39
2021,AUSTIN,M,20-29
2021,NEW CITY,M,40-49
2021,SOUTH LAWNDALE,M,30-39
2021,EAST GARFIELD PARK,M,50-59
2021,ROSELAND,M,50-59
2021,HUMBOLDT PARK,M,0-19
2021,HUMBOLDT PARK,M,20-29
2021,HUMBOLDT PARK,M,20-29
2021,NORTH LAWNDALE,M,0-19
2021,SOUTH LAWNDALE,M,30-39
2021,GRAND BOULEVARD,M,40-49
2021,HUMBOLDT PARK,M,30-39
2021,EAST GARFIELD PARK,M,50-59
2021,EAST GARFIELD PARK,F,20-29
2021,WEST TOWN,M,0-19
2021,BRIGHTON PARK,F,30-39
2021,ROGERS PARK,M,20-29
2021,HUMBOLDT PARK,M,0-19
2021,HUMBOLDT PARK,M,0-19
2021,CHICAGO LAWN,F,20-29
2021,AUSTIN,M,30-39
2021,GARFIELD RIDGE,M,20-29
2021,WEST ENGLEWOOD,M,0-19
2021,RIVERDALE,M,0-19
2021,PULLMAN,M,0-19
2021,GREATER GRAND CROSSING,M,20-29
2021,GREATER GRAND CROSSING,M,0-19
2021,AUSTIN,M,20-29
2021,WEST ENGLEWOOD,F,30-39
2021,WEST ENGLEWOOD,M,40-49
2021,SOUTH CHICAGO,M,50-59
2021,ASHBURN,M,40-49
2021,SOUTH LAWNDALE,M,30-39
2021,EAST GARFIELD PARK,M,30-39
2021,NEW CITY,M,20-29
2021,GREATER GRAND CROSSING,F,30-39
2021,GREATER GRAND CROSSING,M,20-29
2021,AUSTIN,M,30-39
2021,WEST GARFIELD PARK,F,50-59
2021,NORTH LAWNDALE,M,30-39
2021,HYDE PARK,M,20-29
2021,AUBURN GRESHAM,M,20-29
2021,HYDE PARK,M,30-39
2021,UPTOWN,M,20-29
2021,HUMBOLDT PARK,M,30-39
2021,NORTH LAWNDALE,M,30-39
2021,WEST ENGLEWOOD,M,20-29
2021,AUSTIN,M,50-59
2021,AUSTIN,M,50-59
2021,NORTH LAWNDALE,M,30-39
2021,ROSELAND,M,20-29
2021,WEST ENGLEWOOD,M,50-59
2021,EAST GARFIELD PARK,M,20-29
2021,EAST GARFIELD PARK,M,20-29
2021,EAST GARFIELD PARK,M,30-39
2021,NORTH LAWNDALE,M,30-39
2021,NEW CITY,M,20-29
2021,HUMBOLDT PARK,M,40-49
2021,EAST GARFIELD PARK,M,20-29
2021,MCKINLEY PARK,M,30-39
2021,MCKINLEY PARK,M,50-59
2021,BRIGHTON PARK,M,20-29
2021,HUMBOLDT PARK,F,20-29
2021,ENGLEWOOD,M,20-29
2021,ASHBURN,M,30-39
2021,ENGLEWOOD,M,30-39
2021,SOUTH LAWNDALE,M,20-29
2021,SOUTH SHORE,M,20-29
2021,SOUTH SHORE,M,20-29
2021,SOUTH SHORE,M,20-29
2021,MCKINLEY PARK,M,20-29
2021,CHATHAM,M,40-49
2021,LOGAN SQUARE,M,20-29
2021,WOODLAWN,M,20-29
2021,FULLER PARK,M,50-59
2021,GRAND BOULEVARD,F,30-39
2021,GRAND BOULEVARD,M,20-29
2021,NORTH LAWNDALE,M,30-39
2021,NEW CITY,M,50-59
2021,EDGEWATER,M,20-29
2021,GRAND BOULEVARD,M,30-39
2021,GRAND BOULEVARD,F,20-29
2021,GRAND BOULEVARD,M,20-29
2021,NEAR WEST SIDE,M,20-29
2021,NEAR WEST SIDE,F,30-39
2021,AUBURN GRESHAM,M,20-29
2021,GREATER GRAND CROSSING,M,30-39
2021,GREATER GRAND CROSSING,F,30-39
2021,AVALON PARK,M,30-39
2021,NEW CITY,M,0-19
2021,NEW CITY,F,40-49
2021,ROGERS PARK,M,30-39
2021,EAST GARFIELD PARK,M,20-29
2021,GREATER GRAND CROSSING,UNKNOWN,UNKNOWN
2021,EAST GARFIELD PARK,M,0-19
2021,EAST GARFIELD PARK,M,20-29
2021,WASHINGTON HEIGHTS,M,50-59
2021,SOUTH CHICAGO,F,20-29
2021,GAGE PARK,M,20-29
2021,SOUTH LAWNDALE,M,30-39
2021,WEST TOWN,F,30-39
2021,WEST TOWN,F,30-39
2021,AUSTIN,M,20-29
2021,CHATHAM,M,0-19
2021,SOUTH LAWNDALE,M,40-49
2021,AUBURN GRESHAM,F,30-39
2021,BELMONT CRAGIN,F,40-49
2021,BELMONT CRAGIN,M,30-39
2021,GREATER GRAND CROSSING,M,30-39
2021,WEST GARFIELD PARK,M,0-19
2021,WEST GARFIELD PARK,M,0-19
2021,NEAR SOUTH SIDE,M,0-19
2021,AUBURN GRESHAM,M,20-29
2021,WEST ENGLEWOOD,M,20-29
2021,SOUTH CHICAGO,M,0-19
2021,SOUTH DEERING,M,20-29
2021,WEST GARFIELD PARK,M,40-49
2021,SOUTH CHICAGO,M,40-49
2021,ROSELAND,M,40-49
2021,ENGLEWOOD,M,20-29
2021,WEST PULLMAN,M,20-29
2021,SOUTH SHORE,M,20-29
2021,WEST GARFIELD PARK,M,30-39
2021,WEST GARFIELD PARK,M,20-29
2021,AVALON PARK,M,0-19
2021,AVALON PARK,F,0-19
2021,NORTH LAWNDALE,M,0-19
2021,WEST ENGLEWOOD,M,20-29
2021,EAST GARFIELD PARK,M,0-19
2021,EAST GARFIELD PARK,M,30-39
2021,CHICAGO LAWN,M,20-29
2021,WOODLAWN,M,40-49
2021,GREATER GRAND CROSSING,M,30-39
2021,AUSTIN,M,50-59
2021,ENGLEWOOD,M,30-39
2021,WEST GARFIELD PARK,M,20-29
2021,GRAND BOULEVARD,M,20-29
2021,DUNNING,M,20-29
2021,MONTCLARE,M,20-29
2021,CHATHAM,M,20-29
2021,ENGLEWOOD,M,20-29
2021,EAST GARFIELD PARK,M,20-29
2021,ROSELAND,M,30-39
2021,AUSTIN,M,40-49
2021,GREATER GRAND CROSSING,F,20-29
2021,BRIGHTON PARK,M,30-39
2021,NEW CITY,M,30-39
2021,ENGLEWOOD,M,30-39
2021,AUBURN GRESHAM,M,20-29
2021,LINCOLN PARK,F,20-29
2021,ROGERS PARK,M,30-39
2021,WOODLAWN,M,40-49
2021,AUBURN GRESHAM,F,20-29
2021,WEST PULLMAN,M,30-39
2021,WEST GARFIELD PARK,M,30-39
2021,WEST GARFIELD PARK,M,50-59
2021,NEAR WEST SIDE,M,20-29
2021,AVONDALE,M,20-29
2021,NORTH LAWNDALE,M,30-39
2021,CHICAGO LAWN,M,20-29
2021,WEST TOWN,M,40-49
2021,HUMBOLDT PARK,M,20-29
2021,EAST GARFIELD PARK,F,30-39
2021,WEST ENGLEWOOD,M,40-49
2021,WEST LAWN,M,50-59
2021,WEST GARFIELD PARK,F,0-19
2021,AUBURN GRESHAM,M,0-19
2021,AUSTIN,M,20-29
2021,NEAR WEST SIDE,M,20-29
2021,AVONDALE,M,20-29
2021,AVONDALE,M,20-29
2021,CHICAGO LAWN,M,30-39
2021,SOUTH LAWNDALE,M,0-19
2021,NEW CITY,M,20-29
2021,NEAR WEST SIDE,M,0-19
2021,NORTH LAWNDALE,M,20-29
2021,NEW CITY,M,0-19
2021,BRIGHTON PARK,M,30-39
2021,CHATHAM,M,30-39
2021,NEAR WEST SIDE,F,40-49
2021,CHICAGO LAWN,M,0-19
2021,HYDE PARK,M,20-29
2021,SOUTH SHORE,M,0-19
2021,WEST PULLMAN,M,30-39
2021,WASHINGTON HEIGHTS,M,30-39
2021,WEST GARFIELD PARK,M,0-19
2021,AVALON PARK,M,20-29
2021,LOWER WEST SIDE,M,20-29
2021,WEST GARFIELD PARK,M,30-39
2021,WASHINGTON HEIGHTS,M,20-29
2021,NORTH LAWNDALE,M,50-59
2021,AUSTIN,M,30-39
2021,WEST PULLMAN,M,50-59
2021,WEST PULLMAN,M,0-19
2021,NORTH LAWNDALE,M,20-29
2021,NORTH LAWNDALE,M,40-49
2021,NORTH LAWNDALE,M,30-39
2021,HUMBOLDT PARK,M,20-29
2021,HUMBOLDT PARK,M,20-29
2021,HUMBOLDT PARK,M,20-29
2021,SOUTH DEERING,M,20-29
2021,NORTH LAWNDALE,M,40-49
2021,MORGAN PARK,M,20-29
2021,SOUTH SHORE,M,30-39
2021,WEST ENGLEWOOD,M,0-19
2021,WEST GARFIELD PARK,M,0-19
2021,WEST GARFIELD PARK,M,40-49
2021,ENGLEWOOD,M,70-79
2021,SOUTH CHICAGO,M,0-19
2021,HUMBOLDT PARK,M,40-49
2021,HUMBOLDT PARK,M,20-29
2021,WASHINGTON HEIGHTS,M,20-29
2021,AUBURN GRESHAM,M,50-59
2021,ENGLEWOOD,M,30-39
2021,WEST GARFIELD PARK,M,0-19
2021,ENGLEWOOD,M,40-49
2021,RIVERDALE,F,20-29
2021,WEST ENGLEWOOD,M,20-29
2021,LINCOLN SQUARE,M,40-49
2021,WOODLAWN,F,20-29
2021,HUMBOLDT PARK,F,20-29
2021,HUMBOLDT PARK,M,30-39
2021,LOWER WEST SIDE,M,30-39
2021,WASHINGTON PARK,M,20-29
2021,WEST RIDGE,M,30-39
2021,WASHINGTON PARK,M,20-29
2021,WEST GARFIELD PARK,M,20-29
2021,HYDE PARK,M,20-29
2021,HYDE PARK,M,20-29
2021,EAST GARFIELD PARK,M,20-29
2021,DUNNING,M,0-19
2021,BRIGHTON PARK,M,40-49
2021,GREATER GRAND CROSSING,M,0-19
2021,WEST ENGLEWOOD,M,30-39
2021,PULLMAN,M,80+
2021,BRIGHTON PARK,M,30-39
2021,NORTH LAWNDALE,M,20-29
2021,WEST GARFIELD PARK,M,20-29
2021,WEST GARFIELD PARK,M,30-39
2021,WEST PULLMAN,M,20-29
2021,CHATHAM,F,30-39
2021,CHATHAM,M,30-39
2021,CHATHAM,F,50-59
2021,CHATHAM,M,40-49
2021,CHATHAM,M,50-59
2021,GARFIELD RIDGE,M,20-29
2021,NORTH LAWNDALE,M,0-19
2021,NEAR WEST SIDE,M,30-39
2021,CHICAGO LAWN,M,20-29
2021,AUBURN GRESHAM,M,20-29
2021,AUBURN GRESHAM,M,0-19
2021,GARFIELD RIDGE,M,50-59
2021,WEST GARFIELD PARK,M,20-29
2021,WEST GARFIELD PARK,M,20-29
2021,ROGERS PARK,M,0-19
2021,HUMBOLDT PARK,M,40-49
2021,HERMOSA,M,40-49
2021,LOGAN SQUARE,M,20-29
2021,WEST GARFIELD PARK,M,30-39
2021,WEST ENGLEWOOD,M,30-39
2021,SOUTH DEERING,M,30-39
2021,LOWER WEST SIDE,M,50-59
2021,AUSTIN,M,60-69
2021,AUSTIN,M,50-59
2021,AUSTIN,F,30-39
2021,LOGAN SQUARE,M,20-29
2021,HYDE PARK,M,0-19
2021,LOGAN SQUARE,M,0-19
2021,WEST GARFIELD PARK,M,20-29
2021,LOGAN SQUARE,M,20-29
2021,LOGAN SQUARE,M,30-39
2021,CHICAGO LAWN,F,20-29
2021,NEAR WEST SIDE,F,0-19
2021,WEST ENGLEWOOD,F,0-19
2021,HUMBOLDT PARK,M,20-29
2021,FULLER PARK,M,30-39
2021,GRAND BOULEVARD,M,40-49
2021,MORGAN PARK,M,0-19
2021,LOOP,M,0-19
2021,HUMBOLDT PARK,F,40-49
2021,HUMBOLDT PARK,M,20-29
2021,WEST ENGLEWOOD,M,20-29
2021,WEST ENGLEWOOD,M,60-69
2021,EAST GARFIELD PARK,M,30-39
2021,AUSTIN,M,60-69
2021,CHATHAM,M,30-39
2021,WEST PULLMAN,F,0-19
2021,CHICAGO LAWN,F,0-19
2021,CHATHAM,M,20-29
2021,NORTH LAWNDALE,M,20-29
2021,AUSTIN,M,30-39
2021,WEST GARFIELD PARK,M,30-39
2021,WOODLAWN,F,20-29
2021,WOODLAWN,M,0-19
2021,ROSELAND,M,20-29
2021,GREATER GRAND CROSSING,F,0-19
2021,ENGLEWOOD,M,0-19
2021,ENGLEWOOD,M,40-49
2021,LINCOLN PARK,M,50-59
2021,LINCOLN PARK,M,60-69
2021,WEST GARFIELD PARK,M,20-29
2021,SOUTH LAWNDALE,M,30-39
2021,NEAR WEST SIDE,M,20-29
2021,WEST ENGLEWOOD,F,50-59
2021,AUSTIN,M,50-59
2021,WEST GARFIELD PARK,M,30-39
2021,CHATHAM,M,40-49
2021,WEST GARFIELD PARK,M,0-19
2021,CHICAGO LAWN,M,30-39
2021,NEW CITY,M,20-29
2021,WEST GARFIELD PARK,F,20-29
2021,NORTH LAWNDALE,M,50-59
2021,ROSELAND,M,30-39
2021,NEW CITY,F,0-19
2021,NEW CITY,F,0-19
2021,WEST GARFIELD PARK,M,20-29
2021,LOWER WEST SIDE,M,40-49
2021,ROSELAND,M,20-29
2021,SOUTH LAWNDALE,M,0-19
2021,NEAR WEST SIDE,M,20-29
2021,LOWER WEST SIDE,M,0-19
2021,SOUTH SHORE,M,30-39
2021,HUMBOLDT PARK,M,0-19
2021,BELMONT CRAGIN,M,20-29
2021,WEST TOWN,M,50-59
2021,SOUTH SHORE,M,20-29
2021,EAST GARFIELD PARK,F,0-19
2021,GRAND BOULEVARD,M,40-49
2021,WEST GARFIELD PARK,M,20-29
2021,AUSTIN,M,30-39
2021,WEST ENGLEWOOD,M,50-59
2021,WEST ENGLEWOOD,M,20-29
2021,WEST PULLMAN,M,0-19
2021,SOUTH SHORE,M,20-29
2021,ARCHER HEIGHTS,M,20-29
2021,NEW CITY,M,30-39
2021,SOUTH SHORE,M,20-29
2021,CHATHAM,M,30-39
2021,ENGLEWOOD,M,0-19
2021,WEST ENGLEWOOD,M,0-19
2021,WEST ENGLEWOOD,M,30-39
2021,WEST ENGLEWOOD,M,20-29
2021,AUSTIN,M,20-29
2021,ENGLEWOOD,M,0-19
2021,AUSTIN,F,20-29
2021,AUSTIN,F,20-29
2021,AUSTIN,M,60-69
2021,HUMBOLDT PARK,M,30-39
2021,GAGE PARK,M,0-19
2021,ENGLEWOOD,M,30-39
2021,ENGLEWOOD,M,20-29
2021,CHICAGO LAWN,M,50-59
2021,SOUTH SHORE,M,0-19
2021,DOUGLAS,F,0-19
2021,DOUGLAS,M,40-49
2021,GRAND BOULEVARD,M,20-29
2021,WOODLAWN,F,20-29
2021,WEST RIDGE,M,30-39
2021,EAST GARFIELD PARK,M,40-49
2021,WEST GARFIELD PARK,M,40-49
2021,MORGAN PARK,M,20-29
2021,ROSELAND,M,30-39
2021,ROSELAND,F,50-59
2021,SOUTH LAWNDALE,M,30-39
2021,WEST GARFIELD PARK,M,30-39
2021,ROSELAND,M,0-19
2021,CALUMET HEIGHTS,M,0-19
2021,GREATER GRAND CROSSING,F,40-49
2021,WEST TOWN,F,20-29
2021,WEST TOWN,M,30-39
2021,WEST TOWN,F,20-29
2021,WEST TOWN,F,20-29
2021,WEST TOWN,M,30-39
2021,HYDE PARK,M,0-19
2021,LAKE VIEW,M,20-29
2021,WEST GARFIELD PARK,M,0-19
2021,AUSTIN,M,30-39
2021,WEST ENGLEWOOD,M,30-39
2021,WEST ENGLEWOOD,M,30-39
2021,WEST PULLMAN,M,30-39
2021,NORTH LAWNDALE,M,50-59
