year,community_area,sex,age
2024,EAST GARFIELD PARK,M,0-19
2024,WOODLAWN,F,30-39
2024,AUSTIN,F,50-59
2024,ENGLEWOOD,M,40-49
2024,ASHBURN,M,20-29
2024,ASHBURN,M,0-19
2024,CHICAGO LAWN,F,30-39
2024,CHICAGO LAWN,M,30-39
2024,GARFIELD RIDGE,M,50-59
2024,AUSTIN,M,30-39
2024,ENGLEWOOD,UNKNOWN,UNKNOWN
2024,AUSTIN,M,20-29
2024,EAST GARFIELD PARK,M,0-19
2024,GREATER GRAND CROSSING,F,30-39
2024,AUSTIN,M,20-29
2024,WEST GARFIELD PARK,M,60-69
2024,WEST ENGLEWOOD,F,20-29
2024,WEST ENGLEWOOD,M,20-29
2024,WEST ENGLEWOOD,M,20-29
2024,GREATER GRAND CROSSING,M,20-29
2024,ENGLEWOOD,M,50-59
2024,WOODLAWN,F,60-69
2024,LINCOLN PARK,M,30-39
2024,ENGLEWOOD,M,60-69
2024,AUBURN GRESHAM,M,0-19
2024,NORTH LAWNDALE,M,20-29
2024,CHICAGO LAWN,M,50-59
2024,CHICAGO LAWN,M,UNKNOWN
2024,LOGAN SQUARE,M,0-19
2024,WEST ENGLEWOOD,M,20-29
2024,ROGERS PARK,M,30-39
2024,SOUTH LAWNDALE,M,20-29
2024,SOUTH LAWNDALE,F,40-49
2024,SOUTH LAWNDALE,M,40-49
2024,GAGE PARK,M,30-39
2024,CHATHAM,M,20-29
2024,SOUTH LAWNDALE,M,0-19
2024,SOUTH LAWNDALE,M,0-19
2024,MORGAN PARK,M,0-19
2024,LOOP,F,0-19
2024,HUMBOLDT PARK,M,20-29
2024,AUSTIN,F,30-39
2024,NORTH LAWNDALE,UNKNOWN,UNKNOWN
2024,SOUTH SHORE,M,20-29
2024,GRAND BOULEVARD,M,30-39
2024,HERMOSA,M,20-29
2024,NEAR WEST SIDE,M,20-29
2024,CHATHAM,F,40-49
2024,NORTH LAWNDALE,M,0-19
2024,HUMBOLDT PARK,M,40-49
2024,WEST PULLMAN,M,30-39
2024,RIVERDALE,M,20-29
2024,RIVERDALE,M,0-19
2024,WEST ENGLEWOOD,M,0-19
2024,NEAR WEST SIDE,M,40-49
2024,LOWER WEST SIDE,M,30-39
2024,LOWER WEST SIDE,M,0-19
2024,KENWOOD,M,20-29
2024,GAGE PARK,M,40-49
2024,EAST GARFIELD PARK,M,30-39
2024,EAST GARFIELD PARK,M,30-39
2024,WASHINGTON PARK,M,20-29
2024,WASHINGTON PARK,M,20-29
2024,PORTAGE PARK,F,50-59
2024,AUBURN GRESHAM,M,40-49
